GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaparser-core-testing,com.github.javaparser.ast.expr,NormalAnnotationExpr,110,66,14,2,26,20,17,8,9,8
javaparser-core-testing,com.github.javaparser.ast.expr,IntegerLiteralExpr,27,99,1,15,8,24,6,17,5,10
javaparser-core-testing,com.github.javaparser.ast.expr,EnclosedExpr,46,65,6,2,13,22,9,10,5,10
javaparser-core-testing,com.github.javaparser.ast.expr,Name,63,128,14,8,18,34,12,18,4,15
javaparser-core-testing,com.github.javaparser.ast.expr,SingleMemberAnnotationExpr,44,68,6,2,13,21,9,9,5,9
javaparser-core-testing,com.github.javaparser.ast.expr,ArrayAccessExpr,70,90,10,4,21,27,14,9,7,9
javaparser-core-testing,com.github.javaparser.ast.expr,CastExpr,42,118,4,10,12,36,9,14,5,11
javaparser-core-testing,com.github.javaparser.ast.expr,UnaryExpr.Operator,2,122,1,1,0,16,1,5,0,5
javaparser-core-testing,com.github.javaparser.ast.expr,DoubleLiteralExpr,25,44,0,0,8,15,6,8,6,8
javaparser-core-testing,com.github.javaparser.ast.expr,PatternExpr,132,124,22,6,34,36,22,11,8,11
javaparser-core-testing,com.github.javaparser.ast.expr,ArrayCreationExpr,155,183,27,9,39,45,25,17,9,15
javaparser-core-testing,com.github.javaparser.ast.expr,ConditionalExpr,99,124,18,6,27,36,20,11,8,11
javaparser-core-testing,com.github.javaparser.ast.expr,TextBlockLiteralExpr,27,169,0,16,9,25,7,24,7,16
javaparser-core-testing,com.github.javaparser.ast.expr,ObjectCreationExpr,290,207,59,15,65,58,44,21,12,16
javaparser-core-testing,com.github.javaparser.ast.expr,SwitchExpr,113,96,18,4,29,28,19,10,8,10
javaparser-core-testing,com.github.javaparser.ast.expr,TypeExpr,51,56,6,2,16,18,11,7,7,7
javaparser-core-testing,com.github.javaparser.ast.expr,ThisExpr,85,58,13,3,24,20,16,10,9,9
javaparser-core-testing,com.github.javaparser.ast.expr,VariableDeclarationExpr,285,151,31,9,49,43,30,17,13,14
javaparser-core-testing,com.github.javaparser.ast.expr,LambdaExpr,105,190,15,11,26,49,16,22,8,17
javaparser-core-testing,com.github.javaparser.ast.expr,ClassExpr,51,56,6,2,16,18,11,7,7,7
javaparser-core-testing,com.github.javaparser.ast.expr,MethodReferenceExpr,129,114,22,6,33,34,23,12,10,11
javaparser-core-testing,com.github.javaparser.ast.expr,LiteralStringValueExpr,28,31,1,1,10,10,8,3,7,3
javaparser-core-testing,com.github.javaparser.ast.expr,NameExpr,47,87,5,3,12,26,8,12,5,11
javaparser-core-testing,com.github.javaparser.ast.expr,MemberValuePair,68,90,10,4,18,27,11,9,4,9
javaparser-core-testing,com.github.javaparser.ast.expr,LiteralExpr,25,6,0,0,9,3,7,1,7,1
javaparser-core-testing,com.github.javaparser.ast.expr,SimpleName,2,64,1,1,1,20,1,10,0,10
javaparser-core-testing,com.github.javaparser.ast.expr,SuperExpr,80,56,13,3,24,19,16,9,9,8
javaparser-core-testing,com.github.javaparser.ast.expr,MethodCallExpr,272,231,54,16,57,61,44,25,14,20
javaparser-core-testing,com.github.javaparser.ast.expr,BooleanLiteralExpr,22,54,0,2,7,18,5,10,5,9
javaparser-core-testing,com.github.javaparser.ast.expr,StringLiteralExpr,23,42,0,0,7,15,5,9,5,9
javaparser-core-testing,com.github.javaparser.ast.expr,AnnotationExpr,67,37,6,2,20,12,14,3,10,3
javaparser-core-testing,com.github.javaparser.ast.expr,ArrayInitializerExpr,87,63,13,3,21,21,14,9,7,8
javaparser-core-testing,com.github.javaparser.ast.expr,Expression,950,29,22,2,165,12,168,8,157,7
javaparser-core-testing,com.github.javaparser.ast.expr,BinaryExpr.Operator,32,232,11,1,11,26,11,4,0,4
javaparser-core-testing,com.github.javaparser.ast.expr,LongLiteralExpr,29,123,2,18,9,27,8,18,6,10
javaparser-core-testing,com.github.javaparser.ast.expr,BinaryExpr,54,135,9,7,17,39,11,15,5,13
javaparser-core-testing,com.github.javaparser.ast.expr,UnaryExpr,47,100,6,6,15,29,10,14,6,12
javaparser-core-testing,com.github.javaparser.ast.expr,MarkerAnnotationExpr,19,37,0,0,6,13,5,7,5,7
javaparser-core-testing,com.github.javaparser.ast.expr,AssignExpr.Operator,32,155,11,1,11,19,11,4,0,4
javaparser-core-testing,com.github.javaparser.ast.expr,NullLiteralExpr,19,22,0,0,6,9,5,5,5,5
javaparser-core-testing,com.github.javaparser.ast.expr,FieldAccessExpr,159,136,31,7,36,40,27,15,9,14
javaparser-core-testing,com.github.javaparser.ast.expr,InstanceOfExpr,122,132,21,9,36,39,23,14,10,12
javaparser-core-testing,com.github.javaparser.ast.expr,AssignExpr,61,130,10,6,19,38,13,14,6,13
