GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,TypeSolverBuilder,0,152,0,4,0,35,0,17,0,15
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,MemoryTypeSolver,36,105,10,16,1,23,9,12,1,7
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,ReflectionTypeSolver,0,27,0,6,0,6,0,6,0,3
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,JarTypeSolver,42,261,2,20,5,65,3,23,1,14
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,CombinedTypeSolver.ExceptionHandlers,3,93,0,8,1,15,1,11,1,7
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,JavaParserTypeSolver,137,425,14,38,26,96,14,32,3,17
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,CombinedTypeSolver,0,180,0,18,0,55,0,21,0,12
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,ClassLoaderTypeSolver,5,111,1,11,1,33,1,12,0,7
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typesolvers,AarTypeSolver,13,56,1,3,1,16,1,7,0,6
javaparser-symbol-solver-testing,com.github.javaparser.resolution.model.typesystem,ReferenceTypeImpl,52,365,14,56,12,83,16,40,5,16
javaparser-symbol-solver-testing,com.github.javaparser.resolution.model.typesystem,LazyType,20,81,0,2,5,20,5,17,5,16
javaparser-symbol-solver-testing,com.github.javaparser.resolution.model.typesystem,NullType,0,20,0,0,0,7,0,7,0,7
javaparser-symbol-solver-testing,com.github.javaparser.symbolsolver.resolution.typeinference.bounds,CapturesBound,85,0,8,0,17,0,12,0,8,0
